"year","experiment","model","Longitude","Latitude","tmax35","tmax37"
2000,"historical","EC-Earth3-CC",17.578125,-24.21048,67,15
2000,"historical","EC-Earth3-CC",17.578125,-23.50872,39,6
2000,"historical","EC-Earth3-CC",17.578125,-22.80697,7,0
2000,"historical","EC-Earth3-CC",17.578125,-22.10522,5,0
2000,"historical","EC-Earth3-CC",17.578125,-21.40347,12,0
2000,"historical","EC-Earth3-CC",17.578125,-20.70171,19,3
2000,"historical","EC-Earth3-CC",17.578125,-19.99996,19,4
2000,"historical","EC-Earth3-CC",17.578125,-19.29821,25,8
2000,"historical","EC-Earth3-CC",17.578125,-18.59645,43,20
2000,"historical","EC-Earth3-CC",17.578125,-17.8947,45,22
2000,"historical","EC-Earth3-CC",17.578125,-17.19295,34,14
2000,"historical","EC-Earth3-CC",17.578125,-16.4912,27,9
2000,"historical","EC-Earth3-CC",17.578125,-15.78944,22,3
2000,"historical","EC-Earth3-CC",17.578125,-15.08769,12,0
2000,"historical","EC-Earth3-CC",17.578125,-14.38594,5,0
2000,"historical","EC-Earth3-CC",18.28125,-34.73677,0,0
2000,"historical","EC-Earth3-CC",18.28125,-34.03502,0,0
2000,"historical","EC-Earth3-CC",18.28125,-33.33326,6,0
2000,"historical","EC-Earth3-CC",18.28125,-32.63151,15,1
2000,"historical","EC-Earth3-CC",18.28125,-31.92976,1,0
2000,"historical","EC-Earth3-CC",18.28125,-31.228,25,4
2000,"historical","EC-Earth3-CC",18.28125,-30.52625,32,6
2000,"historical","EC-Earth3-CC",18.28125,-29.8245,59,21
2000,"historical","EC-Earth3-CC",18.28125,-29.12275,76,51
2000,"historical","EC-Earth3-CC",18.28125,-28.42099,82,53
2000,"historical","EC-Earth3-CC",18.28125,-27.71924,76,37
2000,"historical","EC-Earth3-CC",18.28125,-27.01749,91,48
2000,"historical","EC-Earth3-CC",18.28125,-26.31573,95,54
2000,"historical","EC-Earth3-CC",18.28125,-25.61398,91,50
2000,"historical","EC-Earth3-CC",18.28125,-24.91223,82,30
2000,"historical","EC-Earth3-CC",18.28125,-24.21048,74,23
2000,"historical","EC-Earth3-CC",18.28125,-23.50872,54,10
2000,"historical","EC-Earth3-CC",18.28125,-22.80697,20,0
2000,"historical","EC-Earth3-CC",18.28125,-22.10522,4,0
2000,"historical","EC-Earth3-CC",18.28125,-21.40347,10,1
2000,"historical","EC-Earth3-CC",18.28125,-20.70171,25,5
2000,"historical","EC-Earth3-CC",18.28125,-19.99996,28,8
2000,"historical","EC-Earth3-CC",18.28125,-19.29821,30,11
2000,"historical","EC-Earth3-CC",18.28125,-18.59645,44,20
2000,"historical","EC-Earth3-CC",18.28125,-17.8947,44,23
2000,"historical","EC-Earth3-CC",18.28125,-17.19295,32,14
2000,"historical","EC-Earth3-CC",18.28125,-16.4912,26,10
2000,"historical","EC-Earth3-CC",18.28125,-15.78944,21,5
2000,"historical","EC-Earth3-CC",18.28125,-15.08769,12,0
2000,"historical","EC-Earth3-CC",18.28125,-14.38594,11,0
2000,"historical","EC-Earth3-CC",18.984375,-34.73677,0,0
2000,"historical","EC-Earth3-CC",18.984375,-34.03502,0,0
2000,"historical","EC-Earth3-CC",18.984375,-33.33326,33,12
2000,"historical","EC-Earth3-CC",18.984375,-32.63151,54,31
2000,"historical","EC-Earth3-CC",18.984375,-31.92976,55,23
2000,"historical","EC-Earth3-CC",18.984375,-31.228,65,35
2000,"historical","EC-Earth3-CC",18.984375,-30.52625,55,27
2000,"historical","EC-Earth3-CC",18.984375,-29.8245,56,28
2000,"historical","EC-Earth3-CC",18.984375,-29.12275,80,46
2000,"historical","EC-Earth3-CC",18.984375,-28.42099,94,56
2000,"historical","EC-Earth3-CC",18.984375,-27.71924,74,42
2000,"historical","EC-Earth3-CC",18.984375,-27.01749,84,39
2000,"historical","EC-Earth3-CC",18.984375,-26.31573,91,52
2000,"historical","EC-Earth3-CC",18.984375,-25.61398,88,54
2000,"historical","EC-Earth3-CC",18.984375,-24.91223,79,35
2000,"historical","EC-Earth3-CC",18.984375,-24.21048,73,25
2000,"historical","EC-Earth3-CC",18.984375,-23.50872,52,10
2000,"historical","EC-Earth3-CC",18.984375,-22.80697,33,0
